"y","recall_conditions","Age"
9,"Counting","Old"
7,"Rhyming","Old"
11,"Adjective","Old"
12,"Imagery","Old"
10,"Intention","Old"
8,"Counting","Old"
9,"Rhyming","Old"
13,"Adjective","Old"
11,"Imagery","Old"
19,"Intention","Old"
6,"Counting","Old"
6,"Rhyming","Old"
8,"Adjective","Old"
16,"Imagery","Old"
14,"Intention","Old"
8,"Counting","Old"
6,"Rhyming","Old"
6,"Adjective","Old"
11,"Imagery","Old"
5,"Intention","Old"
10,"Counting","Old"
6,"Rhyming","Old"
14,"Adjective","Old"
9,"Imagery","Old"
10,"Intention","Old"
4,"Counting","Old"
11,"Rhyming","Old"
11,"Adjective","Old"
23,"Imagery","Old"
11,"Intention","Old"
6,"Counting","Old"
6,"Rhyming","Old"
13,"Adjective","Old"
12,"Imagery","Old"
14,"Intention","Old"
5,"Counting","Old"
3,"Rhyming","Old"
13,"Adjective","Old"
10,"Imagery","Old"
15,"Intention","Old"
7,"Counting","Old"
8,"Rhyming","Old"
10,"Adjective","Old"
19,"Imagery","Old"
11,"Intention","Old"
7,"Counting","Old"
7,"Rhyming","Old"
11,"Adjective","Old"
11,"Imagery","Old"
11,"Intention","Old"
8,"Counting","Young"
10,"Rhyming","Young"
14,"Adjective","Young"
20,"Imagery","Young"
21,"Intention","Young"
6,"Counting","Young"
7,"Rhyming","Young"
11,"Adjective","Young"
16,"Imagery","Young"
19,"Intention","Young"
4,"Counting","Young"
8,"Rhyming","Young"
18,"Adjective","Young"
16,"Imagery","Young"
17,"Intention","Young"
6,"Counting","Young"
10,"Rhyming","Young"
14,"Adjective","Young"
15,"Imagery","Young"
15,"Intention","Young"
7,"Counting","Young"
4,"Rhyming","Young"
13,"Adjective","Young"
18,"Imagery","Young"
22,"Intention","Young"
6,"Counting","Young"
7,"Rhyming","Young"
22,"Adjective","Young"
16,"Imagery","Young"
16,"Intention","Young"
5,"Counting","Young"
10,"Rhyming","Young"
17,"Adjective","Young"
20,"Imagery","Young"
22,"Intention","Young"
7,"Counting","Young"
6,"Rhyming","Young"
16,"Adjective","Young"
22,"Imagery","Young"
22,"Intention","Young"
9,"Counting","Young"
7,"Rhyming","Young"
12,"Adjective","Young"
14,"Imagery","Young"
18,"Intention","Young"
7,"Counting","Young"
7,"Rhyming","Young"
11,"Adjective","Young"
19,"Imagery","Young"
21,"Intention","Young"
