Y,Treatment,Hospital
120.63521301042,Control,1
108.312874836126,Control,1
121.652740127092,Control,1
115.782003580634,Control,1
112.80684208934,Control,1
114.194231764956,Control,2
110.154084096711,Control,2
111.639650191792,Control,2
112.158909999001,Control,2
106.850639784535,Control,2
134.096013871387,Control,3
130.673944238097,Control,3
124.216393963855,Control,3
136.176153254265,Control,3
132.039399756299,Control,3
119.138724298572,Control,4
125.089710018759,Control,4
125.004749151199,Control,4
124.721987121721,Control,4
124.057282984034,Control,4
120.672880642129,LowDose,1
117.593733821557,LowDose,1
116.373479055741,LowDose,1
116.000937369379,LowDose,1
114.429757479838,LowDose,1
110.979145096288,LowDose,2
105.691749728545,LowDose,2
122.863511313079,LowDose,2
118.058541477911,LowDose,2
106.40318857037,LowDose,2
120.299850561273,LowDose,3
119.980997969653,LowDose,3
126.21410032945,LowDose,3
121.897429405409,LowDose,3
123.580867307742,LowDose,3
113.471776384693,LowDose,4
113.40015787498,LowDose,4
120.457521581508,LowDose,4
112.48565523314,LowDose,4
121.196863183584,LowDose,4
101.397082010608,HighDose,1
112.063914779939,HighDose,1
109.760117250982,HighDose,1
110.220553875479,HighDose,1
111.039043445558,HighDose,1
105.230686866221,HighDose,2
106.07626721342,HighDose,2
102.649427216232,HighDose,2
102.383347999389,HighDose,2
109.259947338788,HighDose,2
119.678196501526,HighDose,3
117.702168742031,HighDose,3
122.048484947777,HighDose,3
127.687571036514,HighDose,3
114.981991778096,HighDose,3
104.096928597903,HighDose,4
120.671465598419,HighDose,4
112.096769163196,HighDose,4
112.202729893771,HighDose,4
120.770629824591,HighDose,4
